Name,Core Count,Performance Core Clock,Performance Core Boost Clock,TDP,Integrated Graphics,SMT,Rating,Price
AMD Ryzen 7 7800X3D,8,4.2 GHz,5 GHz,120 W,Radeon,Yes,-286,$344.99 
AMD Ryzen 5 7600X,6,4.7 GHz,5.3 GHz,105 W,Radeon,Yes,-137,$204.67 
AMD Ryzen 5 5600X,6,3.7 GHz,4.6 GHz,65 W,None,Yes,-628,$144.30 
AMD Ryzen 5 7600,6,3.8 GHz,5.1 GHz,65 W,Radeon,Yes,-92,$188.99 
Intel Core i9-14900K,24,3.2 GHz,6 GHz,125 W,Intel UHD Graphics 770,Yes,-22,$547.11 
Intel Core i7-14700K,20,3.4 GHz,5.6 GHz,125 W,Intel UHD Graphics 770,Yes,-23,$399.99 
Intel Core i5-12400F,6,2.5 GHz,4.4 GHz,65 W,None,Yes,-74,$127.77 
AMD Ryzen 5 3600,6,3.6 GHz,4.2 GHz,65 W,None,Yes,-1156,$89.99 
AMD Ryzen 7 7700X,8,4.5 GHz,5.4 GHz,105 W,Radeon,Yes,-103,$285.66 
AMD Ryzen 9 7950X3D,16,4.2 GHz,5.7 GHz,120 W,Radeon,Yes,-32,$557.21 
AMD Ryzen 5 5600,6,3.5 GHz,4.4 GHz,65 W,None,Yes,-136,$136.89 
AMD Ryzen 7 5800X,8,3.8 GHz,4.7 GHz,105 W,None,Yes,-326,$202.00 
Intel Core i5-12600KF,10,3.7 GHz,4.9 GHz,125 W,None,Yes,-55,$159.13 
AMD Ryzen 5 5500,6,3.6 GHz,4.2 GHz,65 W,None,Yes,-42,$87.71 
Intel Core i7-12700K,12,3.6 GHz,5 GHz,125 W,Intel UHD Graphics 770,Yes,-133,$240.38 
AMD Ryzen 7 5700X,8,3.4 GHz,4.6 GHz,65 W,None,Yes,-88,$168.00 
Intel Core i7-13700K,16,3.4 GHz,5.4 GHz,125 W,Intel UHD Graphics 770,Yes,-119,$344.98 
Intel Core i5-12600K,10,3.7 GHz,4.9 GHz,125 W,Intel UHD Graphics 770,Yes,-143,$175.28 
AMD Ryzen 7 5800X3D,8,3.4 GHz,4.5 GHz,105 W,None,Yes,-102,$298.32 
AMD Ryzen 9 7900X,12,4.7 GHz,5.6 GHz,170 W,Radeon,Yes,-67,$386.98 
Intel Core i7-12700KF,12,3.6 GHz,5 GHz,125 W,None,Yes,-39,$212.12 
Intel Core i9-14900KS,24,3.2 GHz,6.2 GHz,150 W,Intel UHD Graphics 770,Yes,-1,$653.99 
AMD Ryzen 9 5900X,12,3.7 GHz,4.8 GHz,105 W,None,Yes,-224,$277.98 
AMD Ryzen 5 5600G,6,3.9 GHz,4.4 GHz,65 W,Radeon Vega 7,Yes,-135,$138.99 
Intel Core i5-13600K,14,3.5 GHz,5.1 GHz,125 W,Intel UHD Graphics 770,Yes,-101,$274.98 
Intel Core i3-12100F,4,3.3 GHz,4.3 GHz,58 W,None,Yes,-46,$94.98 
Intel Core i5-13600KF,14,3.5 GHz,5.1 GHz,125 W,None,Yes,-52,$249.98 
AMD Ryzen 9 7900X3D,12,4.4 GHz,5.6 GHz,120 W,Radeon,Yes,-11,$405.59 
AMD Threadripper 3990X,64,2.9 GHz,4.3 GHz,280 W,None,Yes,-1,"$4,255.00 "
Intel Core i7-14700KF,20,3.4 GHz,5.6 GHz,125 W,None,Yes,-5,$375.74 
Intel Core i9-13900K,24,3 GHz,5.8 GHz,125 W,Intel UHD Graphics 770,Yes,-62,$488.62 
AMD Ryzen 7 7700,8,3.6 GHz,5.3 GHz,65 W,Radeon,Yes,-20,$276.95 
Intel Core i5-13400F,10,2.5 GHz,4.6 GHz,65 W,None,Yes,-15,$186.99 
AMD Ryzen 9 7950X,16,4.5 GHz,5.7 GHz,170 W,Radeon,Yes,-34,$471.68 
Intel Core i9-12900K,16,3.2 GHz,5.2 GHz,125 W,Intel UHD Graphics 770,Yes,-54,$329.95 
AMD Ryzen 5 4500,6,3.6 GHz,4.1 GHz,65 W,None,Yes,-12,$74.00 
Intel Core i5-14600K,14,3.5 GHz,5.3 GHz,125 W,Intel UHD Graphics 770,Yes,-6,$296.85 
